,Year,"ADVANCED MICRO DEVICES, INC.",BAYER AKTIENGESELLSCHAFT,CANON KABUSHIKI KAISHA,E. I. DU PONT DE NEMOURS AND COMPANY,EASTMAN KODAK COMPANY,"FUJI PHOTO FILM CO., LTD.",FUJITSU LIMITED,GENERAL ELECTRIC COMPANY,GENERAL MOTORS CORPORATION,GM GLOBAL TECHNOLOGY OPERATIONS LLC,GOOGLE INC.,"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.","HITACHI, LTD.",INTEL CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,KABUSHIKI KAISHA TOSHIBA,LG ELECTRONICS INC.,LUCENT TECHNOLOGIES INC.,"MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.","MICRON TECHNOLOGY, INC.",MICROSOFT CORPORATION,"MICROSOFT TECHNOLOGY LICENSING, LLC",MITSUBISHI DENKI KABUSHIKI KAISHA,MOBIL OIL CORPORATION,"MOTOROLA, INC.",NEC CORPORATION,PANASONIC CORPORATION,PIONEER ELECTRONIC CORPORATION,QUALCOMM INCORPORATED,RCA CORPORATION,"SAMSUNG DISPLAY CO., LTD.","SAMSUNG ELECTRONICS CO., LTD.",SIEMENS AKTIENGESELLSCHAFT,SONY CORPORATION,TEXAS INSTRUMENTS INCORPORATED,THE DOW CHEMICAL COMPANY,THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE NAVY,TOKYO SHIBAURA DENKI KABUSHIKI KAISHA,U.S. PHILIPS CORPORATION,WESTINGHOUSE ELECTRIC CORP.
Percentage,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2144522144522143,1.1655011655011656,0.0,0.0,0.0,1.3986013986013985,0.0,0.0,0.0,0.0,0.0,1.9813519813519813,0.0,0.0,0.0,0.0,0.0,1.048951048951049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2001,0.0,0.0,1.5855039637599093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1517553793884483,1.0192525481313703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9252548131370328,0.0,0.0,0.0,0.0,0.0,1.1325028312570782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2002,0.0,0.0,1.6778523489932886,0.0,0.0,0.0,0.0,1.1185682326621924,0.0,0.0,0.0,0.0,0.0,0.0,1.5659955257270695,0.0,0.0,0.0,0.0,1.901565995525727,0.0,0.0,0.0,0.0,0.0,1.901565995525727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2003,0.0,0.0,1.342281879194631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.348993288590604,0.0,0.0,0.0,0.0,1.342281879194631,0.0,0.0,1.342281879194631,0.0,0.0,1.5659955257270695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2004,0.0,0.0,1.2181616832779625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2181616832779625,2.2148394241417497,0.0,0.0,0.0,1.6611295681063125,1.550387596899225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2005,0.0,0.0,1.646542261251372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976948408342482,0.0,1.756311745334797,1.4270032930845227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0976948408342482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3143483023001095,0.0,1.4238773274917853,2.4096385542168677,1.2048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.642935377875137,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2007,0.0,0.0,1.5469613259668509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4364640883977902,1.6574585635359116,1.6574585635359116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4364640883977902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2008,0.0,0.0,2.2801302931596092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3431053203040175,0.0,0.0,0.0,1.1943539630836049,1.3029315960912053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.520086862106406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2009,0.0,0.0,2.178649237472767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3071895424836601,0.0,0.0,3.2679738562091507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3071895424836601,0.0,0.0,0.0,0.0,1.9607843137254901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2010,0.0,0.0,1.378579003181336,0.0,0.0,0.0,1.2725344644750796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4390243902439024,0.0,0.0,0.0,0.0,0.0,1.2725344644750796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2269353128313893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2011,0.0,0.0,1.5317286652078774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.282275711159737,1.5317286652078774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4070021881838075,0.0,1.0940919037199124,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2012,0.0,0.0,1.3918629550321198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7837259100642395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8565310492505354,0.0,0.0,0.0,0.0,2.462526766595289,0.0,1.3918629550321198,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2013,0.0,0.0,1.9313304721030045,0.0,0.0,0.0,0.0,0.0,0.0,1.2875536480686696,1.2875536480686696,0.0,0.0,0.0,2.682403433476395,0.0,0.0,0.0,0.0,0.0,1.3948497854077253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2014,0.0,0.0,1.511879049676026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.079913606911447,0.0,0.0,0.0,1.8358531317494602,1.187904967602592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6198704103671708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0718113612004287,0.0,0.0,0.0,2.572347266881029,0.0,0.0,0.0,0.0,0.0,0.0,1.0718113612004287,0.0,0.0,0.0,0.0,0.0,0.0,1.1789924973204717,0.0,0.0,1.607717041800643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,3.9153439153439153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2698412698412698,1.3756613756613756,0.0,1.0582010582010581,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2017,0.0,0.0,0.8592910848549946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1482277121374866,2.4704618689581093,0.0,1.0741138560687433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0408163265306123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percentage,2018,0.0,0.0,0.8602150537634409,0.0,0.0,0.0,0.0,1.1827956989247312,0.0,0.0,0.0,0.0,0.0,1.3978494623655915,3.118279569892473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7204301075268817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
